ts,rss_mb,frame_ms_ewma,queue_len,queue_cap,queue_dropped,budget_chart,budget_instant,budget_preview,gui_interval_ms,guardrail,background
1773391607.784270,139.328,0.000,0,24,0,2,2,1,300,0,1
1773391608.331646,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391608.614046,139.062,0.000,0,24,0,2,2,1,300,0,1
1773391608.724432,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391608.879306,139.266,0.000,0,24,0,2,2,1,300,0,1
1773391609.724362,139.371,0.000,0,24,0,2,2,1,300,0,1
1773391609.787804,139.328,0.000,0,24,0,2,2,1,300,0,1
1773391610.332043,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391610.615229,139.062,0.000,0,24,0,2,2,1,300,0,1
1773391610.723545,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391610.879596,139.266,0.000,0,24,0,2,2,1,300,0,1
1773391611.723806,139.371,0.000,0,24,0,2,2,1,300,0,1
1773391611.787844,139.328,0.000,0,24,0,2,2,1,300,0,1
1773391612.331075,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391612.331168,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391612.615051,139.062,0.000,0,24,0,2,2,1,300,0,1
1773391612.724346,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391612.879229,139.266,0.000,0,24,0,2,2,1,300,0,1
1773391613.722666,139.371,0.000,0,24,0,2,2,1,300,0,1
1773391613.786963,139.328,0.000,0,24,0,2,2,1,300,0,1
1773391614.331838,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391614.614471,139.062,0.000,0,24,0,2,2,1,300,0,1
1773391614.724160,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391614.879205,139.266,0.000,0,24,0,2,2,1,300,0,1
1773391615.725170,139.371,0.000,0,24,0,2,2,1,300,0,1
1773391615.787638,139.328,0.000,0,24,0,2,2,1,300,0,1
1773391616.333266,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391616.615251,139.062,0.000,0,24,0,2,2,1,300,0,1
1773391616.721878,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391616.878153,139.266,0.000,0,24,0,2,2,1,300,0,1
1773391617.722739,139.371,0.000,0,24,0,2,2,1,300,0,1
1773391617.787564,139.328,0.000,0,24,0,2,2,1,300,0,1
1773391618.331696,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391618.613496,139.062,0.000,0,24,0,2,2,1,300,0,1
1773391618.724965,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391618.879331,139.266,0.000,0,24,0,2,2,1,300,0,1
1773391619.722794,139.371,0.000,0,24,0,2,2,1,300,0,1
1773391619.787428,139.328,0.000,0,24,0,2,2,1,300,0,1
1773391620.331924,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391620.612586,139.062,0.000,0,24,0,2,2,1,300,0,1
1773391620.722004,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391620.878617,139.266,0.000,0,24,0,2,2,1,300,0,1
1773391621.724613,139.371,0.000,0,24,0,2,2,1,300,0,1
1773391621.787118,139.328,0.000,0,24,0,2,2,1,300,0,1
1773391622.334178,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391622.614263,139.062,0.000,0,24,0,2,2,1,300,0,1
1773391622.723452,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391622.879044,139.270,0.000,0,24,0,2,2,1,300,0,1
1773391623.721733,139.371,0.000,0,24,0,2,2,1,300,0,1
1773391623.787852,139.332,0.000,0,24,0,2,2,1,300,0,1
1773391624.331941,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391624.615523,139.062,0.000,0,24,0,2,2,1,300,0,1
1773391624.723484,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391624.881226,139.270,0.000,0,24,0,2,2,1,300,0,1
1773391625.723228,139.371,0.000,0,24,0,2,2,1,300,0,1
1773391625.787598,139.332,0.000,0,24,0,2,2,1,300,0,1
1773391626.334528,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391626.616287,139.066,0.000,0,24,0,2,2,1,300,0,1
1773391626.724188,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391626.880362,139.270,0.000,0,24,0,2,2,1,300,0,1
1773391627.723253,139.371,0.000,0,24,0,2,2,1,300,0,1
1773391627.787761,139.332,0.000,0,24,0,2,2,1,300,0,1
1773391628.331800,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391628.614249,139.070,0.000,0,24,0,2,2,1,300,0,1
